X,Y,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN
673.079,541.708,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
673.328,1140.19,-74,-64,-120,-120,-83,-64,-80,-68,-71,-83
674.534,1486.68,-76,-84,-120,-120,-83,-64,-66,-81,-85,-83
674.676,1099.77,-83,-120,-120,-120,-83,-66,-86,-62,-71,-85
675.735,1016.63,-83,-69,-88,-86,-120,-69,-86,-62,-68,-120
676.399,1275.52,-84,-120,-120,-120,-80,-61,-72,-80,-86,-86
676.447,540.713,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
677.291,354.188,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
677.65,554.023,-120,-89,-120,-120,-120,-120,-120,-120,-120,-120
678.511,1257.79,-76,-79,-120,-120,-80,-53,-67,-73,-75,-81
678.687,913.571,-89,-120,-81,-81,-120,-84,-89,-73,-73,-120
678.894,1340.45,-74,-120,-120,-120,-81,-61,-72,-86,-87,-82
679.427,967.51,-87,-120,-84,-84,-120,-82,-88,-69,-65,-120
679.815,470.56,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
680.207,1378.01,-74,-120,-120,-120,-82,-62,-70,-83,-87,-85
680.426,1059.96,-85,-120,-88,-120,-88,-72,-86,-70,-66,-120
680.537,687.364,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
680.578,1092.99,-86,-120,-120,-120,-86,-77,-85,-83,-68,-120
680.623,1306.41,-83,-120,-120,-120,-82,-58,-75,-80,-86,-82
681.182,1121.37,-79,-120,-120,-120,-86,-70,-84,-74,-73,-120
681.667,350.541,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
681.861,722.191,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
682.342,695.324,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
683.295,851.805,-120,-83,-74,-74,-120,-81,-120,-76,-73,-120
683.431,292.485,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
683.454,882.786,-88,-120,-82,-82,-120,-77,-89,-88,-76,-120
684.573,1419.5,-81,-120,-120,-120,-85,-65,-67,-88,-88,-85
685.154,305.321,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
687.212,1180.93,-82,-120,-120,-120,-85,-64,-82,-71,-70,-85
689.23,446.566,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
689.407,435.855,-120,-89,-120,-120,-120,-120,-120,-120,-120,-120
689.688,1193.36,-76,-120,-120,-120,-85,-62,-85,-75,-80,-85
690.273,1543.36,-90,-89,-120,-120,-120,-76,-73,-120,-120,-120
690.538,1248,-78,-120,-120,-120,-120,-64,-79,-82,-85,-84
691.382,928.944,-120,-81,-68,-68,-120,-78,-85,-70,-64,-120
691.654,1015.24,-88,-120,-120,-88,-120,-75,-87,-68,-69,-120
691.845,642.336,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
692.826,934.425,-88,-120,-88,-87,-120,-80,-88,-70,-79,-120
693.188,1573.5,-86,-89,-120,-120,-120,-75,-72,-120,-120,-120
694.444,1042.95,-83,-76,-120,-120,-120,-71,-87,-64,-66,-120
697.14,1138.8,-77,-64,-120,-120,-83,-65,-85,-63,-65,-85
697.499,760.253,-120,-80,-71,-71,-120,-120,-120,-89,-89,-120
